feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-1.27355,0.601607,-0.35697,-0.19451,-0.351807,-0.108066,-0.440818,-0.12978,-0.761953,-0.756005,-0.742037,-0.783146,0.673538,-0.492089,0.158341,-0.774632,0.410343,-0.401167,3
0.809882,0.375456,-0.35697,-0.19451,-0.434145,-0.11367,-0.610097,-0.135544,-0.955984,-0.927254,-0.987093,-0.935919,1.03804,-0.991673,0.639274,-1.02315,0.441878,-0.361117,4
-0.177007,1.28006,-0.35697,-0.19451,0.862676,-0.060551,0.697968,-0.087073,0.347904,0.338084,0.414321,0.274043,-0.372005,0.728487,-0.861236,0.398044,-0.571875,-0.458363,5
-0.0810599,1.26266,-0.35697,-0.19451,0.286311,-0.0793682,-0.286928,-0.117102,0.426487,0.414194,0.493454,0.353485,-0.458334,0.796612,-0.890092,0.478293,-0.583889,-0.463516,5
1.01548,-0.0594483,-0.35697,-0.19451,0.595078,-0.0363807,1.6367,0.777261,0.0597682,0.0748682,0.0824744,0.0173844,0.0884179,0.200517,-0.428397,0.0615145,-0.675142,-0.442529,3
0.234196,1.01912,2.41015,-0.19451,-0.290054,-0.108701,0.0977966,-0.105294,0.172306,0.214404,0.199897,0.0968264,0.241892,0.325413,-0.793905,0.180594,-0.613335,-0.350785,5
0.864709,0.166702,-0.35697,-0.19451,-0.578236,-0.121362,-0.533152,-0.138849,-0.795908,-0.698922,-0.836486,-0.832034,1.52724,-0.923548,0.0332989,-0.854882,0.489193,0.283485,0
-1.65734,-0.633523,2.41015,-0.19451,0.32748,-0.058266,0.0824077,-0.0657969,-0.516504,-0.416679,-0.532718,-0.587597,1.3258,-0.531828,-0.428397,-0.559771,-0.15401,0.0288118,0
-0.643038,-0.894465,-0.35697,-0.19451,-0.290053,-0.104845,-0.379261,-0.127765,2.31829,2.35501,2.21395,2.38231,-1.55184,1.20536,-0.486108,2.22307,-1.08433,-0.619893,1
-1.01312,-0.216014,-0.35697,-0.19451,5.30892,0.239352,-0.548541,-0.134318,-0.0770236,-0.0710104,-0.0451591,-0.120111,0.117194,0.149423,-0.370685,-0.0679201,-0.598041,-0.415991,3
-1.02683,-1.27718,-0.35697,-0.19451,-0.413561,-0.112692,-0.456206,-0.131638,2.28045,2.29159,2.22161,2.31509,-1.75327,1.47786,-0.745812,2.23084,-1.00623,-0.598823,1
0.480919,-1.43375,-0.35697,-0.19451,-0.392976,-0.109254,-0.610097,-0.137245,-0.952103,-0.920911,-0.987093,-0.929808,1.05722,-1.01438,0.658511,-1.02315,0.482433,-0.312051,4
1.42669,1.24527,-0.35697,-0.19451,0.842091,-0.0765145,0.467133,-0.101954,0.279023,0.274658,0.337741,0.209878,-0.266491,0.620622,-0.784287,0.320383,-0.598376,-0.446381,5
1.02919,1.14089,-0.35697,-0.19451,-0.290054,-0.103033,0.20552,-0.123074,0.330442,0.350769,0.383689,0.243488,-0.0842406,0.626299,-0.97666,0.36698,-0.582908,-0.394946,5
-0.84864,1.68017,-0.35697,-0.19451,0.430402,0.21303,0.344021,-0.0366391,-0.756132,-0.749662,-0.867118,-0.621207,0.673538,-1.36068,1.63,-0.782398,0.262032,2.23644,6
-0.588211,-1.25979,-0.35697,-0.19451,-0.475314,-0.117429,-0.502374,-0.12754,2.2562,2.25353,2.17566,2.33037,-1.85879,1.31323,-0.361066,2.18424,-1.01482,-0.650733,1
1.35815,-0.494353,-0.35697,-0.19451,-0.248885,-0.116737,-0.379262,-0.127765,-0.878372,-0.911397,-0.849249,-0.871755,0.414551,-0.526151,0.475757,-0.883357,2.02645,-0.638108,2
-0.177007,-0.37258,-0.35697,-0.19451,-0.495898,-0.122683,-0.240761,-0.13211,-0.882252,-0.920911,-0.839038,-0.887032,0.36659,-0.435318,0.369952,-0.873002,2.25066,-0.590332,2
0.480919,-0.23341,-0.35697,-0.19451,-0.392976,-0.111895,-0.548541,-0.135544,-0.142024,-0.159806,-0.111528,-0.159832,-0.045872,0.086975,-0.101362,-0.135226,-0.523189,-0.533441,4
-0.752693,-0.0246559,-0.35697,-0.19451,0.656831,-0.0373747,0.467133,-0.0758805,-0.449563,-0.426193,-0.43827,-0.480656,0.577617,-0.29339,-0.082125,-0.435514,-0.106875,-0.114743,2
0.275317,-0.581334,-0.35697,-0.19451,-0.331223,-0.114425,-0.117649,-0.13337,-0.319562,-0.261287,-0.274899,-0.425657,0.788644,0.0358812,-0.851617,-0.300902,-0.0275699,-0.221987,0
0.590573,1.48881,-0.35697,-0.19451,-0.207716,-0.112443,-0.471596,-0.128059,-0.380682,-0.432535,-0.535271,-0.1415,-0.160978,-1.34365,2.43796,-0.375974,-0.160112,2.42814,6
0.384971,-0.790088,-0.35697,-0.19451,2.77703,-0.000870963,0.143964,-0.0803586,-0.17695,-0.162977,-0.154924,-0.214831,0.270669,0.00181866,-0.274498,-0.179234,-0.554883,-0.42378,3
-0.876054,-0.546542,-0.35697,-0.19451,-0.2283,-0.103609,-0.517763,-0.129618,-0.518444,-0.5689,-0.422954,-0.57843,-0.0362799,0.211871,-0.322591,-0.451046,0.318873,-0.484648,4
0.453505,1.66277,2.41015,-0.19451,0.14222,-0.0486034,-0.0868712,-0.070898,-0.580534,-0.610126,-0.703747,-0.398158,0.203524,-1.29824,1.9955,-0.593424,-0.00385799,2.40827,6
-1.3695,1.29745,-0.35697,-0.19451,0.348064,-0.0972997,0.467132,-0.0833046,0.305218,0.284172,0.386242,0.225156,-0.43915,0.790935,-0.89971,0.369568,-0.51355,-0.458036,5
-0.985708,0.914738,-0.35697,-0.19451,0.0187135,-0.10769,-0.240761,-0.106227,0.346934,0.360282,0.411768,0.252655,-0.160978,0.717133,-1.05361,0.395455,-0.545189,-0.39776,5
-0.903467,-0.633523,-0.35697,4.39036,3.43573,1.76532,2.99093,1.05058,-0.522325,-0.587928,-0.47656,-0.508155,-0.17057,-0.123077,0.37957,-0.505409,0.986162,-0.682814,2
-1.39691,-0.650919,-0.35697,-0.19451,-0.372391,-0.112773,-0.194594,-0.117941,-0.483519,-0.407165,-0.474007,-0.563153,1.086,-0.33313,-0.524583,-0.50282,-0.0393209,-0.115577,0
0.755054,-0.459561,-0.35697,-0.19451,-0.351808,-0.119958,-0.394651,-0.128836,2.54919,2.67531,2.32627,2.66647,-0.928349,0.603591,-0.0917437,2.33697,-1.30106,-0.636326,1
0.98807,0.35806,-0.35697,-0.19451,-0.351807,-0.111425,-0.56393,-0.131829,-0.952103,-0.927254,-0.976882,-0.935919,0.999671,-0.946257,0.600799,-1.01279,1.90188,-0.403823,4
0.398678,1.14089,-0.35697,-0.19451,-0.125378,-0.103961,-0.271539,-0.125537,0.599174,0.588614,0.705325,0.475703,-0.583032,1.19969,-1.44797,0.693155,-0.499328,-0.416129,5
-0.42373,1.59319,-0.35697,-0.19451,0.450987,-0.0136694,-0.225372,-0.120964,-0.520384,-0.527673,-0.685878,-0.30955,0.356998,-1.531,2.23597,-0.518352,-0.0985556,2.24423,6
0.6454,0.288476,-0.35697,-0.19451,0.409818,-0.117906,-0.486985,-0.133002,-0.886133,-0.860657,-0.900302,-0.883976,0.95171,-0.82136,0.437282,-0.935131,1.00386,-0.317254,4
0.563159,0.532022,-0.35697,-0.19451,-0.660574,-0.126647,-0.548541,-0.138912,-0.952103,-0.930425,-0.971777,-0.938975,0.970895,-0.912194,0.571943,-1.00761,2.51022,-0.423606,4
0.371264,1.31485,-0.35697,-0.19451,-0.290054,-0.115746,-0.440818,-0.135826,-0.500011,-0.502303,-0.660352,-0.300384,0.385774,-1.4799,2.12055,-0.510586,-0.345279,2.25997,6
-0.272955,-1.06843,-0.35697,-0.19451,-0.392976,-0.123592,-0.348484,-0.126002,2.34254,2.41844,2.20885,2.4037,-1.21611,1.02937,-0.524583,2.21789,-1.15925,-0.590505,1
-1.24614,0.705984,-0.35697,-0.19451,-0.372392,-0.118307,-0.317706,-0.131829,-0.673669,-0.673552,-0.777774,-0.541765,0.54884,-1.24714,1.56266,-0.715092,-0.25829,2.36454,6
-1.24614,0.792965,-0.35697,-0.19451,-0.392976,-0.116036,-0.225372,-0.125211,-0.634863,-0.632325,-0.790538,-0.44399,0.539248,-1.55938,2.10131,-0.632254,0.160643,2.17175,6
1.11143,-1.08582,-0.35697,-0.19451,-0.495898,-0.118307,-0.533152,-0.132359,-0.785237,-0.803574,-0.734379,-0.819812,0.472103,-0.304745,0.0429175,-0.766866,0.959216,-0.4438,4
1.00178,-0.0246559,-0.35697,-0.19451,-0.145963,-0.107735,2.49848,1.62416,-0.0226949,-0.00441366,-0.00431634,-0.0620576,0.184339,0.104006,-0.361066,-0.026501,-0.591493,-0.435168,3
-1.08166,1.94111,-0.35697,-0.19451,0.0187132,-0.0862628,-0.194594,-0.0793997,-0.685311,-0.721121,-0.800748,-0.505099,0.2323,-1.3323,2.02436,-0.684028,0.40956,2.3808,6
1.63229,-0.320391,-0.35697,-0.19451,1.50079,-0.0175227,-0.25615,-0.126404,-0.375831,-0.391309,-0.336163,-0.404269,0.165155,-0.0435982,-0.0917437,-0.363031,-0.273285,-0.493518,4
1.38557,-0.685711,-0.35697,-0.19451,0.430402,-0.0386931,-0.179205,-0.094325,-0.851207,-0.89237,-0.808406,-0.853422,0.318629,-0.412609,0.37957,-0.841938,1.84327,-0.610115,2
-0.821227,-1.2076,-0.35697,-0.19451,-0.0430401,-0.0899792,0.0824077,-0.0665527,-0.326353,-0.286657,-0.267241,-0.431768,0.625578,0.126715,-0.841999,-0.293136,0.0230981,-0.257456,0
1.41298,-1.41635,2.41015,-0.19451,0.0598822,-0.0926308,0.528689,-0.102235,0.19656,0.192205,0.227976,0.160991,-0.199346,0.37083,-0.428397,0.20907,-0.680308,-0.490013,3
0.946949,1.03651,-0.35697,-0.19451,-0.41356,-0.114292,0.143964,-0.11254,0.463353,0.468106,0.541954,0.359596,-0.333636,0.904477,-1.19789,0.527479,-0.542123,-0.406904,5
0.426091,-1.29458,-0.35697,-0.19451,-0.310638,-0.114506,-0.333095,-0.130916,0.0258128,0.0812107,-0.0017637,0.00516261,0.481696,-0.162817,-0.207167,-0.0239124,-0.900997,-0.379754,3
1.48151,1.28006,-0.35697,4.39036,0.739169,-0.0651804,-0.117649,-0.118663,0.332382,0.32857,0.396452,0.25571,-0.30486,0.700101,-0.880473,0.379923,-0.579201,-0.440359,5
0.905829,0.984323,2.41015,-0.19451,0.615663,-0.100855,-0.0560933,-0.121316,0.603055,0.582271,0.718088,0.478759,-0.678953,1.26213,-1.45759,0.706098,-0.47691,-0.426607,5
-1.39691,0.845154,-0.35697,-0.19451,-0.207716,-0.107364,1.86753,-0.0405885,0.138351,0.147807,0.161607,0.0998819,-0.0266877,0.268642,-0.428397,0.141764,-0.707106,-0.494172,5
1.55005,-1.08582,-0.35697,-0.19451,-0.454729,-0.116797,-0.471596,-0.131829,-0.74061,-0.76869,-0.685878,-0.770924,0.347406,-0.242297,0.0621548,-0.717681,0.709256,-0.491117,4
-0.547091,-0.929258,-0.35697,-0.19451,-0.2283,-0.111039,-0.163816,-0.120712,-0.350607,-0.280314,-0.3234,-0.447046,0.922934,-0.106046,-0.745812,-0.350087,-0.0914476,-0.18553,0
-1.04054,0.427645,-0.35697,-0.19451,-0.41356,-0.121692,1.17503,0.428123,-0.5524,-0.59427,-0.627167,-0.416491,0.0692336,-0.951934,1.54343,-0.598601,-0.10155,2.76663,6
-1.68475,-1.05103,-0.35697,-0.19451,-0.248885,-0.114755,-0.25615,-0.128269,-0.497101,-0.44522,-0.471454,-0.572319,0.874973,-0.236619,-0.47649,-0.500231,0.0355998,-0.20769,0
0.247903,-1.79907,-0.35697,-0.19451,-0.290052,-0.110578,-0.317706,-0.124376,2.36486,2.39624,2.26245,2.4312,-1.63817,1.25646,-0.486108,2.27226,-1.07493,-0.623827,1
1.00178,0.0623251,-0.35697,-0.19451,0.203973,-0.0295259,1.69825,0.872228,0.0966341,0.147807,0.092685,0.0509944,0.385774,0.0529125,-0.47649,0.0718691,-0.779178,-0.352966,3
1.22109,-0.0420521,-0.35697,-0.19451,-0.598821,-0.125904,-0.640875,-0.138912,-0.940462,-0.936767,-0.938592,-0.935919,0.798236,-0.758912,0.485376,-0.973961,2.51022,-0.498104,2
-0.012526,1.34964,-0.35697,-0.19451,0.0187133,-0.0836084,-0.10226,-0.117953,-0.501951,-0.537187,-0.673115,-0.257607,0.0884179,-1.55371,2.54377,-0.474344,0.0561719,2.29069,6
1.22109,-0.268203,-0.35697,-0.19451,-0.454729,-0.119166,-0.486985,-0.135102,-0.527176,-0.549872,-0.47656,-0.560098,0.222708,-0.094692,-0.0628877,-0.505409,-0.022856,-0.488406,4
0.371264,0.549418,-0.35697,-0.19451,-0.516483,-0.113681,2.31381,2.10101,-0.779416,-0.784546,-0.762458,-0.786202,0.587209,-0.526151,0.302621,-0.795342,0.32021,-0.487059,4
-0.382609,-1.05103,-0.35697,-0.19451,-0.434145,-0.117429,-0.579319,-0.136587,1.88269,1.80955,1.8821,1.93316,-2.19451,1.54031,-0.409159,1.88654,-0.832217,-0.659754,1
1.57746,-0.772692,-0.35697,-0.19451,5.3295,0.783867,3.25254,2.50085,-0.111949,-0.242259,0.0365264,-0.162888,-1.09142,0.8988,-0.428397,0.0149181,0.2723,-0.597539,2
-0.999415,-1.57292,-0.35697,-0.19451,4.44437,0.163109,-0.594708,-0.135905,-0.0323964,-0.0424689,0.031421,-0.0987231,-0.0650563,0.399215,-0.611151,0.00974067,-0.39255,-0.431965,3
-1.68475,2.11508,-0.35697,-0.19451,-0.00187135,-0.0790778,0.20552,-0.0844378,-0.8027,-0.759176,-0.877328,-0.746481,1.04763,-1.15631,0.908596,-0.883357,-1.033,2.01868,6
0.6454,1.64538,-0.35697,-0.19451,0.245142,-0.0731315,-0.225372,-0.0990482,-0.579564,-0.597441,-0.698642,-0.413436,0.309037,-1.26985,1.84161,-0.606367,-0.177116,2.41051,6
0.878415,1.1061,-0.35697,-0.19451,-0.248885,-0.104927,0.174742,-0.0995498,0.300367,0.322227,0.360715,0.203767,-0.045872,0.649008,-1.05361,0.343682,-0.530589,-0.378283,5
-0.42373,2.13247,-0.35697,-0.19451,0.162804,-0.0911999,0.0824078,-0.127041,-0.372921,-0.397651,-0.56335,-0.117056,0.0788258,-1.57641,2.59186,-0.355265,-0.228169,2.27899,6
-0.930881,-0.0942407,-0.35697,-0.19451,0.348065,-0.00466748,-0.333095,-0.125309,-0.462175,-0.492789,-0.405085,-0.495933,0.0980101,0.00181866,-0.101362,-0.432925,-0.0358315,-0.507516,4
-0.0947667,-1.78167,-0.35697,-0.19451,1.08911,-0.0253139,-0.317706,-0.122099,0.755369,0.756691,0.804879,0.68653,-0.602216,0.949894,-1.00552,0.794113,-0.743873,-0.458969,3
-0.382609,1.0887,-0.35697,-0.19451,-0.269469,-0.111895,-0.348484,-0.123074,-0.562101,-0.540359,-0.74459,-0.358437,0.654354,-1.6786,2.18788,-0.559771,0.0690624,2.08793,6
0.878415,-1.46854,-0.35697,-0.19451,-0.310638,-0.114506,-0.456208,-0.130246,2.28239,2.31379,2.20885,2.31509,-1.57102,1.38135,-0.765049,2.21789,-1.04464,-0.585773,1
-0.231835,0.0797212,-0.35697,-0.19451,1.91248,-0.0298945,-0.209983,-0.122248,0.424547,0.385653,0.526638,0.335152,-0.698137,1.02937,-1.04399,0.511946,-0.499171,-0.471761,3
-0.862347,1.73236,-0.35697,-0.19451,0.224558,0.000287715,-0.209983,-0.0986073,-0.795908,-0.797231,-0.90796,-0.651761,0.63517,-1.40042,1.7358,-0.808285,0.728208,2.20631,6
-0.711572,-1.60771,-0.35697,-0.19451,-0.495898,-0.117153,-0.425429,-0.134318,2.35224,2.36135,2.27266,2.41286,-1.83001,1.39838,-0.534202,2.28261,-1.02684,-0.628947,1
0.343851,0.601607,-0.35697,-0.19451,0.101051,-0.0908876,-0.286928,-0.133055,-0.749341,-0.736977,-0.734379,-0.770924,0.721499,-0.514797,0.148723,-0.766866,0.333729,-0.37568,3
0.0697148,1.14089,-0.35697,-0.19451,-0.372392,-0.11971,-0.348484,-0.12449,-0.656206,-0.667209,-0.78288,-0.486767,0.433735,-1.38339,1.90894,-0.668496,0.0549677,2.30179,6
0.549452,-0.424768,-0.35697,-0.19451,-0.372391,-0.116737,-0.456207,-0.13211,1.47619,1.31801,1.69576,1.34956,-2.63575,2.67573,-1.89043,1.69757,-0.422564,-0.546716,1
-0.437437,1.95851,2.41015,-0.19451,-0.0430403,-0.0671853,-0.117649,-0.124301,-0.642624,-0.664038,-0.767564,-0.465378,0.328221,-1.36068,1.97627,-0.650375,0.0891492,2.34907,6
1.01548,-1.71209,-0.35697,-0.19451,-0.331223,-0.108479,-0.317707,-0.127009,1.74396,1.60659,1.89997,1.67039,-2.66453,2.47136,-1.5153,1.90466,-0.566622,-0.575411,1
-1.32838,-0.163825,-0.35697,-0.19451,-0.392976,-0.117646,-0.348484,-0.135826,-0.922029,-0.933596,-0.90796,-0.917586,0.644762,-0.662402,0.475757,-0.942897,2.4407,-0.556361,2
-1.3695,0.253683,2.41015,-0.19451,-0.2283,-0.101812,-0.471596,-0.131829,-0.834715,-0.879685,-0.800748,-0.822867,0.270669,-0.458026,0.504613,-0.834172,1.59047,-0.675524,2
1.60488,0.427645,-0.35697,-0.19451,-0.701743,-0.127308,-0.671653,-0.140171,-0.970536,-0.936767,-1.01517,-0.938975,1.09559,-1.09386,0.754698,-1.05162,-1.8698,0.881942,4
-0.355196,0.149306,-0.35697,-0.19451,-0.537067,-0.118719,-0.517763,-0.126821,-0.951133,-0.933596,-0.969224,-0.935919,0.932526,-0.90084,0.591181,-1.00503,2.42911,-0.473359,2
-0.368903,0.166702,-0.35697,-0.19451,-0.495898,-0.12347,-0.56393,-0.134599,-0.945312,-0.936767,-0.951356,-0.935919,0.846197,-0.815683,0.533469,-0.986905,2.51022,-0.492034,2
0.110835,0.0275327,-0.35697,-0.19451,-0.166547,-0.0642122,-0.0868711,-0.117752,0.765071,0.807432,0.802327,0.671253,-0.237715,0.876092,-1.24598,0.791525,-0.731688,-0.388462,3
-1.52027,-0.494353,-0.35697,-0.19451,-0.207716,-0.111717,-0.363873,-0.129618,-0.911357,-0.91774,-0.925829,-0.877865,0.68313,-0.844069,0.745079,-0.961018,1.95866,-0.769947,2
1.74194,1.34964,-0.35697,-0.19451,1.00677,-0.00477641,0.867246,-0.0416316,0.0849923,0.084382,0.110554,0.0540499,-0.0746484,0.240257,-0.33221,0.08999,-0.663682,-0.526053,5
-0.711572,-0.111637,-0.35697,-0.19451,-0.125378,-0.105836,-0.502374,-0.127009,-0.935611,-0.930425,-0.933487,-0.932864,0.807828,-0.753235,0.466138,-0.968784,2.37117,-0.473359,2
1.0429,-0.0594483,2.41015,-0.19451,0.759754,0.202129,0.35941,0.0233769,-0.872551,-0.895541,-0.839038,-0.880921,0.50088,-0.492089,0.331477,-0.873002,2.04179,-0.528943,2
-1.45174,-0.37258,-0.35697,-0.19451,0.73917,-0.093847,-0.348484,-0.129568,0.558428,0.509332,0.67214,0.463482,-0.899572,1.21672,-1.15941,0.659502,-0.481272,-0.478311,3
1.15255,2.18466,-0.35697,-0.19451,0.203973,-0.0741226,0.128575,-0.0754323,-0.746431,-0.708436,-0.841591,-0.660928,0.95171,-1.24714,1.15868,-0.816051,-0.516278,2.12272,6
-1.46545,-1.39895,-0.35697,-0.19451,-0.00187116,-0.0877908,-0.240761,-0.119372,0.724325,0.629841,0.881459,0.61931,-1.44632,1.6425,-1.33255,0.871774,-0.401989,-0.516169,3
0.755054,-0.00725971,2.41015,-0.19451,-0.063625,-0.0803166,-0.363873,-0.131355,0.535144,0.563244,0.559823,0.472648,-0.180162,0.603591,-0.841999,0.545599,-0.769566,-0.426189,3
-0.574504,0.0449289,-0.35697,-0.19451,-0.434145,-0.1154,-0.41004,-0.130409,-0.67755,-0.787718,-0.555692,-0.709815,-0.448742,0.257288,0.0140616,-0.585658,1.3682,-0.615165,2
0.151956,-0.546542,-0.35697,-0.19451,2.283,0.871078,-0.394651,-0.137149,-0.566952,-0.603784,-0.494428,-0.61204,0.126786,0.01885,-0.159074,-0.523529,0.467159,-0.485575,4
1.12514,-0.146429,-0.35697,-0.19451,-0.310638,-0.119958,-0.625486,-0.139605,-0.938521,-0.924082,-0.948803,-0.929808,0.894157,-0.838392,0.52385,-0.984316,2.21822,-0.454684,4
-1.47915,-0.268203,-0.35697,-0.19451,-0.2283,-0.112883,-0.348484,-0.124649,-0.922029,-0.920911,-0.938592,-0.893143,0.759868,-0.866777,0.706605,-0.973961,1.96677,-0.712438,2
0.26161,-0.0942407,-0.35697,-0.19451,-0.495898,-0.118719,-0.486985,-0.13337,-0.801729,-0.721121,-0.828828,-0.838144,1.38336,-0.838392,0.0332989,-0.854882,0.601976,0.14777,0
