feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,label
-0.176031,1.19302,0.554491,-0.497771,0.610588,0.566824,0.47543,-0.0868237,1.36454,0.303905,-0.119845,0.64139,-1.05654,-0.00906453,0.476293,-0.915608,-1.10147,-0.702019,-0.906717,-0.876099,0.171436,0.0500459,0.410923,-0.274977,-0.655398,0.0792226,-0.191105,-0.684544,1.95957,2.07229,2.24763,1.80003,1.15207,2.04261,1.95928,1.55319,1.2419,1.45312,1.0522,1.43646,1.5658,0.994764,1.13402,0.887019,1.07945,0.797385,1.40559,1.33642,1.55206,1.50102,1.15271,1.50144,1.24016,0.954164,0.94949,0.845461,0.918477,1.05522,0.871927,1.26783,4
1.09451,0.763596,-0.39322,-0.980172,-0.957558,0.307767,-1.26339,0.270236,-0.253954,-0.507584,0.145259,0.179173,-0.888681,-1.18694,-1.18391,-0.407495,-0.690049,0.526986,0.648787,-0.602204,0.912271,-0.156937,0.585346,0.201769,0.0873101,-0.355658,0.169293,-0.0213723,0.594209,-0.12174,0.454406,0.170977,-0.0889617,-0.501644,0.0188232,-0.394352,0.515525,-0.477242,0.167585,-0.277595,0.0077087,-0.0349889,0.220463,0.395865,-0.150108,-0.359696,0.12502,-0.204943,-0.136842,-0.165987,-0.334991,0.410497,0.410239,0.162673,-0.226155,0.049957,0.249661,-0.211241,-0.0519059,-0.00644865,0
-1.00804,0.0964948,-0.636909,-0.191665,0.457974,0.377191,0.626884,0.354629,-0.616313,-1.16584,0.127261,0.0951525,0.00697428,-0.977388,-1.23739,-0.840377,-1.86655,-0.736067,-0.028919,-1.18162,-0.25437,-0.598646,-0.635839,-1.50997,-1.51047,-0.518227,-0.397665,-0.915984,-0.816959,-1.16849,-0.71986,-0.619857,-0.489607,-0.704568,-1.31061,-1.13931,-0.571476,-0.911548,-0.53685,-1.37799,-1.27245,-1.24958,-0.946628,-0.79494,-1.44378,-1.37232,-1.234,-1.26178,-1.28536,-1.02116,-0.774533,-1.29352,-0.78666,-1.07836,-1.51417,-1.05413,-1.23243,-1.06969,-1.06923,-1.61661,3
-1.17972,-0.133705,-0.984248,-0.0481509,-0.0451708,-1.2955,0.618071,0.829805,0.218505,0.265468,1.57782,0.0448565,-0.425576,0.407185,0.774147,0.346063,-0.0399751,1.10189,0.418307,0.438363,0.570043,1.61087,0.214387,0.00932346,0.569275,0.610012,0.446217,0.18551,1.1747,0.426081,0.780151,0.579614,0.648882,1.20294,0.443721,0.531046,0.942934,1.03811,0.50448,0.560822,0.334567,0.5815,0.478082,1.06018,0.369009,0.942521,0.545469,0.658062,0.807061,0.923383,1.24054,0.43998,0.92697,0.84586,0.823136,0.618094,1.04562,0.640944,1.11204,0.825187,2
1.32627,-0.529718,-0.350435,-0.816007,-1.30197,-0.35862,-0.30916,0.483327,0.441584,0.0860649,-0.0881225,0.0231428,0.938578,-0.39242,-0.675994,-0.802702,0.583192,0.447107,-0.607495,-0.665613,0.229723,0.62983,0.324251,-0.02828,0.0736252,1.75249,1.4488,1.72257,0.761413,0.826378,1.45021,1.36081,1.05827,0.619158,0.412331,1.04132,1.02155,1.3328,0.734934,1.15025,0.999528,0.778619,0.666104,0.99576,0.499591,0.56531,0.606426,0.741623,0.473033,0.451316,1.15065,0.48668,0.905202,0.972819,0.939995,0.867324,1.02651,0.291046,0.816746,0.975186,4
-0.7304,-0.381366,0.487269,0.879558,-0.889302,1.11141,1.38212,0.973407,2.08058,0.549584,0.159531,1.45851,0.651741,-0.0603629,1.00278,0.490898,1.90546,0.23634,1.03053,2.10958,1.60829,1.75473,1.93905,1.71534,0.716381,1.85892,1.94847,1.7028,2.01313,1.19735,1.26692,1.33549,0.964496,1.15588,1.645,1.00786,1.76026,1.62845,1.03071,1.04862,1.41867,1.63544,1.2626,1.97309,1.55435,1.33009,1.35505,2.02006,1.91693,1.2281,1.99771,1.66015,1.50572,1.74117,1.59998,1.45666,1.34853,1.45359,1.92998,1.39719,2
0.877578,-0.532099,-0.886993,0.520944,-0.192692,0.340514,1.20143,-0.277311,-0.161922,1.17966,0.711625,1.21705,0.487011,0.528353,0.496253,0.0601372,-1.14442,-0.445762,0.10819,-0.91042,-0.219918,-0.329901,-0.541082,0.30445,0.373697,0.0967723,-0.212157,0.0307088,-0.659117,-0.096433,-0.219665,0.112229,0.391576,1.00451,1.56568,1.36316,1.43569,0.959741,1.58374,1.08429,0.808682,1.48422,0.729939,1.02598,0.700893,1.43657,1.37859,1.46979,0.78747,1.48384,1.12408,1.2578,0.789297,0.967695,0.706082,1.05254,0.691337,1.111,1.25053,1.12257,4
1.37773,0.0169074,0.641849,0.412624,0.527915,-1.11174,-0.237311,0.535998,0.0191168,1.06633,0.38666,0.53072,-0.955952,-1.17557,0.0364497,0.617058,-1.06721,-0.0523989,-0.358824,0.0509475,0.578108,-0.455586,-0.690306,1.98205,1.89557,1.04761,1.90274,1.06055,1.86413,1.74042,1.51518,0.963065,1.47139,1.5289,0.808328,1.17329,1.06097,0.864654,0.801728,1.36718,1.00103,1.07472,0.943623,1.02096,0.941335,0.714332,1.4009,1.04896,1.2094,0.998541,0.761709,0.993272,0.899642,1.27342,0.803965,0.859272,0.962098,0.934625,1.16697,0.596367,4
-0.353888,-1.2595,-0.505548,-0.962823,1.02461,0.904577,-0.856897,1.63602,2.06405,1.17315,0.593142,1.0103,2.12586,0.636441,0.801845,2.00581,1.63064,0.668201,1.06455,1.2043,1.1901,1.34184,1.3047,1.07511,1.17812,1.17546,1.33617,1.59851,0.964493,1.10685,1.05368,0.84129,0.877615,1.40185,1.59922,0.915331,1.1296,1.07745,1.35044,1.86879,1.90511,1.40972,1.05087,1.18146,1.89445,1.24427,1.27602,1.38269,1.43359,1.83117,1.807,1.33532,1.70874,1.66641,1.80792,1.54085,1.40838,1.42839,1.75117,1.57358,2
-1.68648,-1.22465,0.45008,-0.883555,-0.550367,0.649208,0.4757,0.900176,0.748122,0.619432,1.33729,0.78646,0.679662,-0.783215,0.648337,-0.245404,-0.628664,-0.930849,0.78734,0.51859,0.390331,0.582469,-0.00447598,0.297355,0.545309,0.10222,-0.377403,-0.306959,-0.237556,-0.184671,0.490549,0.306074,0.520873,-0.144144,-0.367561,-0.151593,-0.462872,-0.248756,-0.825655,-0.229913,-0.557559,-0.73781,-0.839261,-0.604113,-0.704203,-0.268466,-0.279113,-0.579972,-0.703478,-0.489387,-0.302589,-0.438468,-0.409291,-0.711764,-0.766127,-0.460695,-0.910507,-0.862024,-0.900944,-0.57025,5
0.248285,0.379128,0.974743,1.26866,2.59349,0.0699975,-2.11568,-1.54906,-2.27975,-2.87328,-0.875789,-0.476871,2.37253,1.88335,2.55438,2.41219,0.999769,-1.15109,-1.40314,-2.74147,-2.65286,-0.795014,-0.0529053,0.939451,0.906279,1.68378,0.60954,1.04881,-0.23201,-1.65762,-1.24606,-1.46293,-0.36236,-0.224689,0.455132,0.60579,0.687976,0.681495,0.572679,-0.367558,-1.10081,-0.882269,-0.91672,-0.401879,-0.500722,0.883981,0.877005,1.28556,0.440466,0.653904,-0.331813,-0.541505,-1.30154,-0.475095,-0.59179,0.103197,0.110541,0.497216,1.08498,0.341424,1
-0.0857725,2.75383,0.844905,2.11183,0.536635,-0.91109,-1.0302,-2.84568,-1.14687,-1.74797,-0.673883,0.386663,0.9006,1.73263,2.19379,1.47725,0.605841,-0.483221,-1.69692,-2.85946,-1.51629,-0.636245,0.449273,0.662759,0.950377,1.18985,1.23068,-0.633513,-0.626814,-1.48136,-1.06023,-1.13697,0.180042,0.246402,1.57435,1.55456,0.425843,-0.00723946,-0.249596,-1.00597,-1.33764,-1.32008,-0.159594,0.239481,0.375679,1.07506,1.01678,0.224268,0.169495,-0.298776,-0.87507,-1.16475,-0.580725,-0.0839587,0.341998,1.03203,1.16398,0.970412,0.365345,-0.403219,1
1.28476,-0.369076,-0.662165,-0.443944,0.571478,1.28406,0.438585,0.218597,1.3022,1.45369,1.75156,1.31766,1.5461,0.750967,0.329274,0.493292,0.657302,1.13026,2.00617,1.93735,1.80576,0.757415,1.35422,1.65456,1.4941,1.66344,0.939917,1.76596,0.78008,1.71612,1.81317,1.35432,1.50549,0.855757,1.76149,1.11302,1.40378,1.02781,1.73031,1.42705,1.54981,1.01678,1.23811,1.43555,1.05117,1.10406,1.34197,1.77478,1.26776,1.74888,1.75311,1.2984,1.81612,1.58884,1.37122,1.19051,1.73086,1.27158,1.33507,1.37527,2
0.672086,-0.686127,-0.259709,-1.30171,-1.11572,0.0460174,0.790832,0.358888,0.450872,0.0568513,0.200774,-0.180012,-0.326106,-0.666203,-0.595292,-1.80188,-1.96882,-1.95845,-1.67623,-1.1916,-1.53054,-0.906863,-0.405461,-0.31274,-0.652294,-1.41083,-1.42995,-1.36098,-0.962448,-0.575761,-1.04771,-0.931159,-0.931715,-1.45134,-1.29707,-1.60102,-0.959821,-1.37781,-0.845514,-1.48924,-1.16247,-0.892988,-0.84556,-0.874542,-0.938801,-1.2282,-0.904638,-0.883963,-0.869169,-1.26309,-1.00049,-0.865817,-1.42554,-0.978347,-1.17645,-1.07087,-1.44594,-1.37968,-1.09815,-1.21323,3
-0.835134,-1.21883,-0.103873,0.0317503,0.49441,-1.31632,0.0518501,-0.476574,-0.0763754,-0.378107,0.374738,0.669447,0.0785602,-0.590953,0.649885,-0.153892,-0.122701,-0.00712597,-0.162241,-0.687227,3.5331,2.77145,1.9884,2.83771,3.03882,2.48824,2.77804,1.48516,2.54509,2.14497,1.89833,2.17466,1.65333,1.26195,2.2077,1.9935,1.51915,1.82874,1.43884,1.74012,1.23293,1.14848,1.67178,1.78788,1.64137,1.60132,1.45296,1.66677,1.26766,1.22871,1.00442,1.67239,1.0523,1.43067,1.49325,1.31867,1.00348,1.28682,1.51543,1.33481,4
-1.23877,0.591144,-0.897175,0.518857,-1.05815,-0.30653,1.24208,0.666911,0.632719,1.52268,0.371329,-0.447951,1.32688,0.121788,1.30459,0.952032,1.01203,0.948598,0.077754,0.0230114,0.919285,0.146186,1.11167,0.500676,1.06508,0.95902,0.120851,0.3493,0.495086,0.305026,0.218544,1.03082,0.59495,0.905696,0.217327,0.331816,0.892342,0.497578,0.858834,1.13231,0.561618,0.361559,0.867812,0.91362,0.33011,0.721515,0.482542,0.422088,0.966443,0.431458,0.60123,0.41602,0.529695,0.660903,0.843608,0.626665,0.629896,0.440347,1.12763,0.484521,2
1.57745,2.59605,1.38435,2.76605,1.25559,0.747315,2.24904,0.00296807,-1.36953,-1.34887,-2.39524,-0.888716,-0.623311,-0.306113,0.147734,2.4594,2.87147,2.43581,0.857912,0.872556,-1.12674,-0.806125,-0.804292,-0.860986,-1.25011,-1.42254,-0.3796,0.985837,1.66552,1.20356,1.50561,1.29688,0.466988,-0.634762,-0.818383,-0.890802,-0.940966,-0.917088,-0.152294,-0.272922,0.471971,0.731226,1.12989,1.36874,1.15028,0.398501,0.181142,-0.195287,-1.04904,-1.2012,-0.485617,-0.983177,0.213049,0.0352747,0.823426,1.19318,1.04186,0.510712,0.46249,0.180725,1
1.1255,0.400221,1.09994,1.36191,1.07193,2.19147,1.10992,-1.35408,-1.58387,-2.04318,-0.856624,-0.933044,-0.706233,0.104089,1.51135,1.72403,1.58123,2.43597,1.92528,0.759348,0.151041,-0.752293,-0.64782,-0.983779,-0.784613,-0.339225,0.489362,0.452828,0.839468,0.970781,1.41826,0.726868,0.182387,-0.495092,-0.0516121,-0.582404,-0.887681,-0.467637,-0.64182,-0.519581,0.0198769,0.495899,1.09433,1.18504,0.466272,0.113988,0.0165283,-0.517681,-0.81098,-0.59052,-0.990499,-0.758171,-0.283936,0.630779,0.496106,0.880956,1.04222,0.394478,0.0905491,0.173278,1
-1.17371,0.661424,-0.854943,0.693408,-0.940375,0.373238,1.37212,0.370716,0.902481,0.628242,0.497655,1.31177,0.159929,0.311638,1.35667,0.676693,0.736681,1.62363,1.58899,1.81379,0.222949,0.483094,0.649214,0.515098,1.46177,0.512216,0.752453,0.536587,1.34602,0.2859,0.782914,0.878293,0.500032,1.07508,1.25318,0.881857,0.555681,1.44689,1.01195,1.41232,1.02029,1.40327,1.26778,0.882373,1.09812,1.13204,0.624027,1.1992,1.26203,1.02677,0.912844,1.21123,0.912444,1.07883,0.88603,1.00503,0.808205,1.31351,1.22809,0.896729,2
1.00428,1.06573,0.553159,-0.63054,0.133713,-0.221319,1.21719,1.43903,1.18772,0.310963,0.22114,-0.320747,-0.153952,-1.17073,0.710714,-0.964092,-0.562473,-0.306672,-0.105482,-0.656519,-0.479799,0.870393,0.585639,0.280915,-0.246111,0.484228,0.396001,-0.187702,-1.43105,-1.7105,-1.52065,-1.80967,-1.89705,-1.56702,-1.555,-1.07573,-1.34742,-1.12655,-1.55927,-0.785852,-1.11256,-0.756493,-0.800543,-1.14571,-1.09674,-1.60061,-1.08917,-1.42089,-0.893804,-0.719014,-1.2874,-1.00656,-0.918995,-0.81708,-0.906783,-0.910294,-0.824314,-1.04153,-0.768354,-0.973216,5
-1.09936,-0.230826,-1.07235,-0.665272,-1.16178,-0.461584,-1.33045,-0.963234,1.37599,-0.511311,1.06552,-0.498903,-0.754579,0.750374,0.193106,-0.270646,0.108676,0.581019,-0.982053,-0.11505,-0.0718349,0.603135,-0.127384,0.679812,-0.321186,-0.613166,-0.372987,0.492169,-0.0885043,0.267213,-0.532577,-0.150964,0.356607,-1.80888,-1.0516,-1.19382,-1.43418,-1.30824,-0.848746,-1.36161,-1.75649,-1.52823,-1.52441,-1.27706,-0.898267,-1.11213,-1.33287,-1.12121,-1.58282,-1.37013,-0.793635,-0.869722,-0.826783,-1.03369,-1.07567,-1.01945,-0.960143,-1.32839,-1.26983,-0.96656,5
-1.66969,0.929505,0.532833,2.66912,2.71711,3.40275,0.644263,0.430915,-0.90922,-0.398956,-2.7284,-2.18958,-1.07846,-1.14269,0.0031066,0.965679,0.774904,1.93634,1.97303,2.146,0.977242,1.64159,-0.0153932,-1.0543,-0.63058,-1.48411,-1.80759,-0.82058,-1.23508,0.00324315,0.836967,0.95791,1.34486,0.942309,0.651811,1.01369,0.599065,-0.568114,-0.819151,-0.605071,-0.679719,-0.60046,-0.593321,-0.610069,0.0222648,0.0560225,0.335739,1.18622,0.987262,0.402425,0.513793,0.173964,-0.26259,-0.56102,-1.0201,-1.23865,-1.15553,-0.550416,-0.171171,0.427762,1
1.65561,0.0403338,-1.36824,0.174529,-0.765046,0.222026,0.808751,-0.70829,0.34722,0.151929,0.38961,-0.640202,0.250641,-0.0368009,-0.819936,-0.276034,-0.921243,-0.968804,0.00368979,-1.672,-0.59804,-0.444668,-0.0281056,-0.846234,-0.572881,-1.29679,-1.20153,-1.60093,-0.499608,-0.495578,-0.893652,-1.31087,-0.554999,-1.00682,-0.576572,-0.431816,-0.628005,-0.619181,-1.03866,-1.21261,-0.643449,-0.462363,-1.00122,-0.609479,-1.34982,-0.941033,-1.36447,-1.28212,-1.37122,-1.23762,-0.823736,-0.790241,-0.924139,-1.11455,-0.706747,-0.84398,-1.42656,-0.874913,-1.42527,-1.13503,3
-0.60255,0.0737418,-1.22508,-0.13493,-0.655023,1.0247,0.975694,1.19652,0.632117,1.35946,0.962017,1.35728,0.602646,0.540301,1.31277,-0.58296,1.18323,0.716451,1.25322,0.287424,0.804048,1.28364,0.671354,0.100359,0.319784,0.47993,1.22425,-0.01124,0.193234,0.242388,0.510221,1.14777,0.493511,0.508025,1.07635,1.14119,0.955393,0.645765,0.406741,0.939008,0.293245,0.259204,0.263007,0.715303,0.322873,0.770708,0.757429,1.0619,0.405034,0.987808,0.545346,0.86479,1.15118,0.62129,1.05933,0.83898,0.870048,0.878681,0.659498,0.626814,2
-0.734491,-0.723503,-0.438859,-0.159807,-1.3418,-1.4232,1.13427,0.246793,-0.808501,0.597414,0.252474,-0.437704,0.562565,-1.01451,0.661122,0.125689,-0.606578,0.688899,0.821702,0.69569,0.772959,0.658495,0.504444,0.564775,-0.119736,-0.356238,0.475792,-0.181101,-2.35045,-2.01077,-2.13735,-1.99634,-1.54798,-1.56129,-1.33354,-1.14073,-1.37918,-1.63263,-1.3561,-1.02068,-0.770013,-0.800426,-1.09259,-1.38091,-0.957955,-1.50931,-1.09304,-1.18154,-0.873972,-0.928969,-0.923899,-0.750235,-1.34961,-0.781069,-1.33423,-1.17703,-0.665415,-1.35317,-1.30031,-1.31935,5
0.900265,-0.708086,0.216364,0.315083,-0.924383,0.805918,1.03495,-0.377792,1.47938,1.15203,0.476724,2.20877,1.42534,2.05779,0.96332,0.310388,0.712392,1.82954,1.60445,1.4966,1.24526,0.800976,0.961824,0.664729,0.932894,1.82261,1.8039,1.60181,1.21831,1.53933,0.905031,1.72265,1.13218,1.23571,1.51351,1.53565,1.80587,1.09377,1.03274,0.98224,1.02356,1.59613,1.7903,1.28179,1.33946,1.42927,1.73327,1.23446,1.72785,1.81532,1.17793,1.85879,1.92204,1.78263,1.98872,1.86557,1.85693,1.37478,1.98294,1.35025,2
0.286219,-0.667054,-0.983296,-0.968298,-0.402168,-0.933017,-0.541643,-0.746981,0.988196,-0.353822,0.398477,0.394189,-1.0693,0.93618,-1.00083,-0.900045,-0.409266,0.263706,0.517359,0.597913,0.814545,-0.00071555,-0.505524,0.274627,0.687406,0.0825829,-0.530795,-0.671077,-0.54935,0.0871551,-0.110485,0.155261,-0.313443,-0.187818,0.131688,-1.15806,-1.83489,-1.09511,-1.18034,-1.54019,-1.74656,-1.52541,-0.978938,-1.03207,-1.21048,-1.07493,-1.70729,-1.25039,-0.986131,-1.06207,-1.40527,-1.42025,-1.25053,-1.3982,-0.791522,-1.37773,-1.31357,-0.898431,-1.1609,-0.958828,5
-0.153002,0.386199,-0.517767,-0.500166,-1.1498,-0.852664,-0.731733,1.04834,-1.19416,-1.1165,0.742059,-0.364981,-0.366534,-1.03739,-0.425992,-0.393711,-1.70531,-0.691879,-0.0106823,0.0514302,-0.172369,-1.03936,-0.831458,-0.278244,-0.0190769,-0.808613,-0.240875,-1.08894,-0.58629,-0.779125,-1.02281,-0.255438,-0.626626,-0.712396,-1.32261,-1.21578,-0.715264,-0.36716,-0.348919,-0.389134,-0.508271,-1.08831,-0.924356,-0.991631,-0.751801,-0.746857,-0.758571,-1.01191,-0.677944,-1.01805,-1.09243,-0.563066,-1.03526,-0.982173,-0.986852,-0.671565,-0.66589,-0.944479,-1.27069,-1.23007,3
-0.299676,-0.453859,-0.0938045,-0.741803,0.774725,1.0283,-0.627458,-0.965213,0.112729,0.769588,0.0417893,1.02726,-0.343038,0.915048,0.276094,-1.08191,-0.892597,0.777553,-0.503818,0.65486,0.910559,0.768622,0.399887,0.179444,0.350102,-0.490496,-0.666923,0.333675,0.341584,0.156046,-1.31597,-1.04881,-0.356459,-0.75204,-1.16102,-0.645416,-0.989203,-0.472219,-0.168922,-0.980876,-0.750072,-0.477087,-0.30847,-0.277408,-1.05015,-0.981923,-0.555487,-0.754344,-0.653418,-0.436809,-0.393459,-0.927774,-0.307463,-0.573281,-0.314227,-0.672818,-0.591917,-0.727468,-0.549694,-0.466731,5
0.927471,0.396469,1.68282,1.33713,2.52727,2.72093,0.615838,0.0491221,0.49216,-1.90079,-1.67697,-1.66737,-0.527259,-1.72887,-0.47882,1.23201,1.20654,0.577887,1.46689,0.697341,1.37678,0.251742,-0.244349,-0.140283,-0.523954,-1.45224,-0.485271,-0.492572,-0.423843,0.576203,0.526942,1.31258,0.621625,1.18775,0.41778,-0.233544,-0.601189,-0.612442,-0.474079,-0.982561,-0.341008,-0.263564,0.0977225,0.450347,0.894646,0.264862,0.883377,0.410386,0.637115,-0.193591,-0.297635,-0.085329,-0.273294,-0.372428,-0.353762,-0.438991,0.053446,0.36503,0.539079,0.573756,1
