feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,label
-0.450445,-0.836823,-0.528562,0.347877,0.964325,1.64273,1.16637,-0.49246,-0.391772,-0.183803,-0.576253,-0.282379,-0.285522,-0.286317,-0.203314,-0.609986,-0.52738,-0.496076,-0.514673,-0.514517,-0.575727,-0.445403,-0.377906,-0.430697,1
-0.50899,1.89552,0.558469,1.07494,1.52435,1.64273,-1.04769,0.0905069,-0.365242,1.6574,-0.532115,-0.215942,-0.21801,-0.223535,-0.95123,2.37663,-0.516765,-0.463475,-0.481474,-0.461955,0.00234062,-0.491214,-0.417396,-0.468942,2
0.0154241,-0.0908012,-0.780279,1.68287,1.52435,1.21157,-1.10923,-0.690382,-0.989429,-0.430775,-0.200718,2.33909,-0.588968,-0.572961,-0.529762,-0.0528973,0.511816,-0.430873,-0.481474,-0.504005,-0.57122,2.05001,-0.489408,-0.1004,0
-0.464147,1.89552,2.01265,1.09327,1.52435,1.64273,-1.01374,0.480052,1.3813,1.6574,-0.590001,-0.282379,-0.277705,-0.276805,-0.852129,3.45713,-0.585762,-0.537671,-0.539135,-0.44093,-0.570093,-0.469581,-0.391069,-0.43765,2
0.818861,-0.143987,-0.310515,-0.547211,-0.641828,-0.55441,-0.843262,-0.929686,-1.20756,-1.03788,-0.766553,-0.454475,-0.0524295,-0.0738715,-0.511108,0.10367,0.374884,1.96366,3.44381,3.43731,0.298699,0.267207,0.502502,2.97397,3
-0.429269,1.89552,2.01265,0.00878188,-0.126605,-0.413288,-0.637418,-0.698478,1.3813,-1.36743,-1.10301,-0.841892,-0.7446,-0.587546,-0.773432,-0.518048,-0.395756,-0.30946,-0.353049,3.43731,0.0102285,-0.465127,-0.360096,-0.41679,2
-0.751889,1.03461,0.993762,-0.0584261,-0.186341,-0.13806,-0.525654,-1.09342,1.29287,-1.18851,-0.929357,-0.646583,-0.572623,-0.43281,1.62887,-0.440675,-0.301283,-0.220649,3.44381,-0.143076,-0.153163,-0.557385,-0.544386,-0.627137,0
-0.835347,-1.06517,-0.757833,-0.523536,-0.0160929,1.64273,1.16637,-0.884704,1.3813,-1.02565,-0.773788,-0.469684,-0.276994,-0.267292,-0.258111,-0.423379,-0.280054,-0.200413,-0.264811,-0.262217,-0.242183,-0.632464,-0.604783,-0.692327,0
-0.381935,-0.405662,-0.603917,-0.802296,-0.977096,0.209677,1.16637,1.27893,1.3813,1.6574,-0.550928,-0.243958,-0.302577,-0.725161,1.62887,0.575193,-0.472183,-0.41401,-0.436045,-0.433921,-0.0461134,-0.264069,-0.302796,-0.367245,0
-0.205054,1.89552,0.237009,-0.00267402,-0.135565,1.64273,-1.21887,-0.185683,1.3813,-0.415483,-0.1971,0.278735,0.21051,0.179161,1.62887,3.45713,-0.37771,-0.302715,-0.345186,-0.357706,-0.405575,-0.708179,-0.220718,-0.249903,0
-0.0817357,-0.637553,-0.832386,1.68287,-0.909893,0.216695,1.16637,1.15658,1.3813,1.6574,-0.692748,-0.44487,-0.483082,-0.429639,-0.800247,-0.501663,-0.502966,-0.449984,-0.473612,-0.388367,-0.501356,-0.394503,-0.112312,-0.157767,2
-0.399373,-0.20001,2.01265,0.392173,0.981499,1.64273,1.16637,-0.591421,-0.420513,-0.21974,-0.626903,-0.332807,-0.334557,-0.333246,-0.302414,-0.447047,-0.52738,-0.497201,-0.520788,-0.532038,-0.415716,-0.407864,-0.333769,-0.382891,1
-0.842821,-0.629752,-0.901327,-1.0696,-1.16975,1.64273,1.16637,1.38689,1.3813,-0.0683461,1.77319,0.101035,-0.474554,1.7817,1.62887,-0.435213,-0.293853,-0.21278,-0.274421,0.0540339,-0.260213,-0.642008,-0.616398,-0.703626,0
-0.917559,1.79766,-0.889303,-1.07495,-1.12718,-1.12592,1.16637,1.43817,1.3813,1.6574,1.77319,0.0946318,-0.47029,-0.46325,1.62887,-0.480727,-0.353296,-0.270113,-0.322471,-0.23944,0.0598093,-0.661095,-0.649694,-0.746217,0
-0.0705249,-0.645354,-0.846815,-0.181386,-0.741886,-0.709567,-1.10782,0.618596,1.01357,1.6574,1.77319,-0.410451,-0.431205,-0.403638,-0.326315,-0.365122,-0.504027,-0.474717,-0.511178,-0.532914,-0.602771,-0.705634,-0.484763,-0.0899695,1
-0.7631,1.89552,-0.0571949,-0.289072,-0.231143,1.64273,1.16637,-0.324228,0.121874,0.000469478,0.195077,0.728586,-0.219432,1.7817,1.62887,-0.404264,-0.258824,-0.174557,-0.626499,-0.226299,-0.237676,-0.678274,-0.563744,-0.584546,1
-0.608641,1.89552,-0.62957,-0.239429,-0.205755,1.64273,1.16637,-0.345819,0.0813424,-0.054583,0.137191,0.529275,0.538118,1.7817,1.62887,-0.429751,-0.293853,-0.216152,-0.283157,-0.631907,-0.26472,-0.636281,-0.522704,-0.575854,1
-0.398128,-0.444665,-0.632776,-0.822153,0.122793,1.64273,1.16637,2.21276,1.3813,1.6574,-0.541521,-0.282379,-0.49232,-0.705501,1.62887,-0.573575,-0.455199,-0.384781,-0.332955,-0.400632,0.149956,-0.406592,-0.336866,2.97397,0
-0.142772,-0.677265,2.01265,-1.04669,-0.762047,0.266594,-0.0835494,0.645585,1.3813,1.6574,-0.657293,-0.404047,-0.377906,-0.411248,-0.791503,-0.317788,-0.465814,-0.484834,-0.511178,-0.518021,-0.463043,-0.428861,-0.341512,-0.183843,2
-0.511481,-0.0156316,-0.574256,-0.388356,0.0526035,0.135608,1.16637,-1.12851,1.3813,-1.2168,-0.9583,-0.675399,-0.600339,-0.45564,1.62887,-0.510766,-0.384079,-0.301591,-0.353049,-0.349821,0.0406531,-0.473399,-0.415073,-0.209919,0
-0.465392,-0.699249,0.132795,-0.108068,-0.145272,1.64273,1.16637,0.501643,-0.0277245,-0.222799,-0.0183771,0.376389,0.29792,1.7817,0.85531,-0.473445,-0.34905,-0.279107,-0.330334,1.82539,-0.61404,-0.463855,-0.382552,-0.434174,0
0.546066,0.358089,0.102332,-0.129453,1.52435,0.289205,-0.0701094,0.238948,-0.244384,-0.00947055,-0.536456,1.42578,-0.932922,-0.890678,-0.833475,-0.379686,-0.650512,-0.064386,-0.183562,-0.28149,-0.184714,-0.582835,-0.519607,-0.576723,2
-0.414321,1.89552,2.01265,1.10473,1.52435,-0.53102,-1.05972,2.21276,-1.00564,-0.814613,-0.605919,-0.30159,-0.295471,-0.222901,-0.835224,-0.604524,-0.524195,-0.474717,-0.492832,-0.490864,0.102629,-0.435223,-0.35003,0.163838,2
-0.472866,0.00351532,-0.138963,-0.366208,0.0705243,0.181609,1.16637,-1.1429,1.3813,-1.23133,-0.972048,-0.675399,-0.481661,-0.468957,1.62887,-0.521689,-0.396817,-0.320702,-0.36528,-0.358582,0.068824,-0.456856,-0.394941,-0.408098,0
-0.263599,-0.721942,-0.0788394,1.43772,0.846346,1.64273,1.16637,0.167876,-0.494944,-0.95148,-0.694919,-0.993977,-0.933632,-0.881166,-0.813655,-0.336903,-0.137814,-0.238636,-0.335576,-0.358582,-0.371769,2.05001,-0.23543,-0.293363,2
-0.847803,-0.646063,-0.87327,-1.07342,-1.15705,-1.00273,-1.34196,0.087808,0.127033,0.330784,0.532263,2.33909,2.04256,1.7817,-0.787423,-0.335083,-0.139937,0.144714,0.0025247,-0.471591,-0.652352,-0.8577,-0.864182,-0.947003,2
-1.08946,-1.18643,-0.815551,-1.01843,-1.10926,-1.09551,-1.29032,0.0275321,0.0415477,0.246676,1.77319,1.36254,2.04256,1.7817,-0.847466,-0.418828,-0.254578,-0.155446,-0.0551358,3.43731,-0.521639,-0.783894,-0.775909,-0.871383,2
-0.658466,1.89552,-0.539785,-0.224155,-0.199781,-0.103755,1.16637,-0.352116,0.0666037,-0.0775215,0.116931,0.508463,0.516799,1.01816,1.62887,-0.434303,-0.302345,-0.22627,-0.289273,-0.626651,-0.232042,-0.619102,-0.508767,-0.563685,1
-0.378198,1.89552,2.01265,0.390645,0.988966,1.64273,1.16637,-0.604916,-0.430093,-0.228151,-0.630521,-0.336809,-0.33811,-0.338319,-0.301831,-0.438854,-0.511458,-0.482586,-0.509431,-0.52065,-0.394306,-0.399593,-0.322154,-0.347253,1
-0.84033,0.30703,2.01265,1.68287,-0.251304,-1.03391,-1.27263,-0.909894,-1.13903,-0.173863,1.77319,-1.02199,-0.955662,-0.901459,-0.832309,-0.0501664,-0.180274,-0.220649,-0.316356,-0.343689,-0.367262,2.05001,-0.627238,-0.112569,2
-1.02718,1.89552,-0.947823,-1.12841,0.930723,1.45015,1.16637,0.293826,0.202937,-0.863549,-0.641374,-0.304792,-0.913734,-0.871653,-0.819485,-0.355109,-0.15586,0.15708,2.04685,-0.424285,-0.523892,-0.769896,-0.744936,-0.832268,2
3.69504,0.95519,0.999373,-0.0973762,-0.221436,-0.222266,-0.600635,-1.04934,-1.30852,-1.1541,-0.895349,-0.604159,-0.478818,-0.38715,-0.762939,-0.39152,-0.242901,-0.159942,3.44381,-0.164101,4.48941,2.05001,-0.586973,-0.716665,2
-0.821645,-0.624788,-0.848419,-1.04669,-1.13241,-1.10175,-1.31437,0.116597,-0.3225,0.346077,1.77319,1.4738,2.04256,1.7817,-0.801996,-0.354199,-0.157983,0.123354,-0.0140745,-0.484732,-0.66024,-0.858972,-0.864956,-0.949611,2
-1.32987,-1.33039,-0.769858,-1.04363,-1.14734,-1.13761,-1.337,-0.951277,-0.30334,-0.0752277,0.567718,2.33909,2.04256,1.7817,1.62887,-0.369673,-0.214241,4.59764,-0.118912,-0.568832,-0.704187,-0.884423,-0.919159,-1.04088,1
-0.0493491,-0.614151,-0.806733,0.0385672,-0.0967366,-0.0554143,1.16637,0.821015,-0.174375,0.0463465,-0.223149,0.123448,0.0861467,-0.605937,0.727645,3.45713,-0.424416,-0.364546,-0.401099,-0.383111,-0.383038,-0.707542,-0.676021,-0.757517,0
4.39509,1.89552,-1.00795,-1.18951,1.34514,0.958951,0.5453,0.328012,-0.171428,0.0463465,0.0604924,-0.40965,-0.23933,-0.819017,-0.773432,-0.289569,-0.0868629,0.199799,-0.304125,-0.482104,-0.565585,-0.795346,-0.748033,-0.875729,2
0.686823,-0.200719,-0.32254,-0.583107,-0.717991,-0.689295,-0.933098,-0.704776,-1.01522,-0.853609,-0.609537,-0.290383,-0.269177,0.0669135,-0.326315,0.208352,0.449188,0.574156,0.337131,3.43731,-0.180207,0.143137,0.337571,0.3681,3
0.118812,-0.362404,-0.527761,1.68287,1.52435,0.27595,-0.0736462,0.513338,0.325269,0.55864,1.77319,-0.219144,-0.372931,-0.665549,-0.598549,-0.0246787,-0.182397,-0.345434,-0.408088,-0.432169,-0.474312,2.05001,0.00615955,-0.0239101,0
0.922249,0.0737208,2.01265,-0.596854,-0.424538,0.782743,0.617452,0.290227,0.252312,0.205387,0.981602,-0.863504,-0.814244,-0.77526,0.736972,-0.239504,-0.0730636,-0.149825,-0.101439,-0.223671,-0.174573,1.55563,2.66751,0.0395417,0
-1.12434,-1.21196,-0.728172,-1.00774,-1.10926,-1.09473,-1.29527,-0.903596,-0.395457,0.279555,0.44471,2.33909,2.04256,1.7817,1.62887,3.45713,-0.2705,-0.185799,-0.248211,-0.426913,-0.479946,-0.783894,-0.788298,-0.893982,0
0.688069,0.28221,0.321983,1.68287,1.52435,1.64273,1.16637,-0.985464,-1.24294,-1.057,1.77319,2.33909,-0.92013,-0.876092,-0.819485,-0.35875,-0.169659,-0.0531441,0.162402,-0.259589,-0.272608,-0.634373,-0.581553,-0.647998,2
-0.898875,1.81397,0.909589,1.68287,-0.493981,-0.534918,-0.493823,-0.982765,-0.866361,-1.09523,-0.843251,-0.553731,-0.507955,-0.361149,1.62887,-0.410636,-0.2705,-0.193668,-0.242096,-0.231556,-0.282749,-0.601287,-0.638853,-0.734049,0
-1.10814,-0.69003,-0.882088,-0.937476,-1.15257,-0.23786,-0.536265,0.604202,1.3813,1.6574,1.77319,2.33909,-0.79932,-0.849457,1.62887,3.45713,4.25674,-0.439867,-0.502442,-0.530286,-0.607278,0.93019,-0.79217,-0.881813,2
-0.116614,-0.665919,-0.848419,-1.04058,-0.234876,0.287646,-0.0538399,2.21276,1.3813,1.6574,1.77319,-0.994777,-0.924394,-0.858336,1.62887,3.45713,-0.554979,-0.53992,-0.554861,-0.566204,0.599565,-0.631827,-0.113861,-0.166459,2
-0.406847,-0.142569,-0.328151,-0.84201,-0.950962,-0.936454,-1.15026,-0.724568,-0.265756,-0.178451,0.0235902,0.439625,0.580047,1.7817,1.62887,-0.542626,-0.421231,-0.349931,-0.378384,-0.375227,0.146576,-0.41359,-0.339189,-0.389844,0
-0.0169625,-1.05666,0.18891,0.0698801,1.52435,1.64273,-1.23585,-0.855915,-1.15819,-0.980535,-0.708667,-0.957156,1.28359,-0.879897,-0.829395,-0.380597,-0.146306,-0.137459,-0.260442,-0.306019,-0.344725,-0.678911,-0.639628,2.97397,2
-0.435497,-0.829023,-0.121327,-0.349406,0.0802314,1.64273,1.16637,-1.16809,1.3813,-1.25503,-0.992308,-0.71382,-0.499427,-0.484811,-0.441155,-0.520779,-0.394694,-0.319578,-0.361785,-0.35683,0.107137,-0.43586,-0.368614,-0.384629,0
-0.627325,-0.419136,-0.0491785,-0.117233,-0.221436,1.64273,1.16637,0.651883,0.105661,-0.0255275,0.181329,0.0698179,1.24166,1.07397,-0.827646,-0.39334,-0.230164,-0.00367959,-0.163468,-0.27273,-0.297398,-0.573928,-0.525802,2.38552,2
-1.18288,-0.64039,-0.859642,-1.04822,-1.13017,-1.10798,-0.490286,0.661779,0.113031,0.350664,1.77319,1.4746,-0.893836,-0.855165,-0.80083,-0.327801,-0.133568,0.177316,-0.498074,-0.554815,-0.656859,-0.849428,-0.842501,-0.941788,2
-0.611132,-0.94745,-0.611933,-0.405922,0.0899385,0.155879,1.16637,2.21276,1.3813,1.6574,-0.91995,-0.628172,0.303605,1.7817,1.62887,-0.5226,-0.397879,-0.321826,-0.363532,-0.358582,-0.0573818,-0.530026,-0.481665,-0.529786,0
-0.399373,-0.803493,-0.489282,0.36697,1.52435,1.64273,1.16637,-0.487063,-0.0557281,1.6574,-0.616773,-0.321601,-0.320344,-0.318026,-0.23013,-0.600883,-0.457322,-0.481462,-0.503315,-0.503129,-0.561078,-0.101823,-0.343835,-0.392452,1
0.737894,-0.192918,-0.338572,0.150071,0.0309492,-0.566106,-0.207339,0.439568,-0.0498326,0.436302,1.77319,-0.419256,2.04256,-0.827896,-0.625365,-0.123899,0.0734216,-0.222897,-0.317229,-0.343689,-0.366135,0.769852,0.432038,-0.0195641,2
-0.195089,0.0623745,0.878325,-0.132508,-0.240103,-0.534139,0.357848,1.17907,1.3813,-0.0224691,0.196524,-0.21274,1.22603,-0.777162,-0.825897,-0.387879,-0.217426,-0.600626,-0.179193,-0.200894,-0.172319,-0.593652,-0.504121,2.97397,2
-0.424286,-0.117749,-0.302498,-0.791604,-0.902426,-0.887334,1.16637,-0.666091,-0.225224,-0.00105976,0.0431267,0.450831,0.580757,1.7817,1.62887,-0.595422,-0.487043,-0.376912,-0.39411,-0.433045,0.323489,-0.424407,-0.352353,1.65887,0
-0.457918,1.89552,2.01265,1.09327,1.52435,1.64273,-1.01374,0.480052,1.3813,1.6574,-0.589277,-0.283179,-0.278415,-0.277439,-0.850381,3.45713,-0.585762,-0.537671,-0.539135,-0.440054,0.0395263,-0.468309,-0.390295,0.138631,2
-0.586219,1.12184,1.12283,-0.0141299,-0.154233,-0.106873,-0.538387,-0.657994,1.3813,-1.28027,-1.02125,-0.751441,-0.683484,-0.513983,-0.456311,-0.477086,-0.34905,-0.258872,-0.29102,3.43731,-0.0585086,-0.502031,-0.446046,-0.516748,0
-1.31741,-1.32543,-0.854832,-1.05738,-1.14286,-1.13059,1.16637,0.148984,0.145456,0.378955,0.578571,2.33909,1.30206,1.7817,-0.814821,-0.373314,4.25674,0.104243,3.44381,-0.524154,-0.716582,-0.894603,-0.909867,-1.02697,2
-0.619851,1.89552,2.01265,1.68287,1.52435,-0.00785369,-1.03142,-0.402496,-0.326185,-0.101989,-0.464822,-0.143902,-0.154052,-0.167094,-0.0908062,2.4094,-0.512519,-0.460102,-0.478853,-0.466335,-0.101328,-0.548477,-0.487085,-0.54717,0
-0.29474,-0.748889,-0.884493,0.311982,-0.113911,-0.0710079,1.16637,0.381091,-0.126474,0.0960467,1.77319,0.201892,0.153658,-0.549496,0.766702,-0.518048,-0.403186,-0.338689,-0.381879,-0.370846,-0.470931,-0.753989,-0.733321,-0.320308,0
-0.512727,-0.88079,-0.446795,-0.792368,-0.924827,-0.903708,-1.13258,-0.692181,-0.42125,-0.118811,0.0807525,0.479647,2.04256,1.7817,1.62887,-0.582678,-0.465814,-0.396023,-0.401973,-0.41202,0.0406531,-0.470854,-0.409653,-0.47068,0
-0.416812,1.89552,0.0750765,-0.0790467,-0.207248,-0.155213,1.16637,-0.613012,-0.427882,-0.237327,-0.0292307,0.35958,-0.407753,0.911623,1.62887,-0.42429,-0.281115,-0.201538,0.0566907,-0.259589,-0.0269572,-0.494395,-0.360871,-0.392452,0
-0.907594,-1.09992,-0.696908,-0.915328,-1.02041,-1.00896,-1.22383,-0.810034,-0.45957,0.128925,0.321703,2.33909,2.04256,1.7817,1.62887,-0.482547,-0.34905,-0.272362,-0.318103,0.00672767,-0.312047,-0.671276,-0.651242,-0.745348,0
-0.16893,-0.694285,-0.44439,-1.05585,-0.773994,-0.732178,-0.0892083,2.21276,1.3813,1.6574,1.77319,-0.387238,-0.352323,-0.38715,-0.789754,-0.442495,-0.474306,-0.498325,-0.521662,-0.528534,-0.586995,-0.4664,-0.151028,-0.208181,2
0.0241436,-0.719105,-0.568645,-0.798478,-0.906907,-0.889673,-0.969881,-0.673288,-0.33208,-0.29085,-0.0813281,0.325161,0.466343,1.7817,1.62887,-0.599063,-0.487043,-0.41401,-0.429056,-0.433045,0.327997,-0.326423,-0.23543,-0.243818,0
-0.837838,1.81113,0.954481,1.68287,-0.192314,-0.152874,-0.448551,-0.00845359,-0.889943,-1.11817,-0.878707,-0.597755,-0.550593,-0.390955,-0.360126,-0.407905,-0.271562,-0.200413,-0.2718,-0.187754,-0.183588,-0.584744,-0.590845,-0.685373,0
-0.375706,-0.802784,-0.606322,1.68287,-0.98307,0.186287,1.16637,1.25014,1.3813,1.6574,1.77319,-0.258366,-0.317501,-0.283146,-0.674915,-0.569934,-0.461568,-0.412886,-0.436919,-0.428665,-0.0314645,-0.257707,-0.293504,-0.363768,0
-0.861505,-0.339712,-0.562231,-0.916855,-1.02563,-1.01286,-1.221,-0.820829,-0.49347,0.155687,0.2848,0.465239,2.04256,1.7817,1.62887,-0.494381,-0.372403,-0.292597,-0.302377,3.43731,-0.259086,-0.642644,-0.617946,-0.661036,0
0.447661,-0.187245,-0.330556,0.150071,1.52435,0.25334,-0.203095,0.417976,0.177881,0.403423,1.77319,-0.437666,2.04256,-0.846286,-0.634692,-0.133912,0.0659912,-0.217276,-0.322471,-0.339309,-0.349233,2.05001,2.66751,0.0534489,2
-0.31467,-0.0248505,2.01265,1.68287,1.02182,1.11801,1.16637,-0.59412,1.3813,0.102928,-0.697813,-0.416854,-0.412728,-0.407443,-0.509942,0.441382,-0.551794,-0.529802,-0.549619,-0.561824,-0.637703,-0.828432,-0.267952,-0.324654,1
0.898582,0.0715934,2.01265,-0.614419,-0.437979,0.78976,0.611793,0.292926,0.258945,0.219915,0.984496,-0.852298,-0.803584,-0.765113,0.743968,-0.234042,-0.0900474,-0.146452,-0.200161,-0.229804,-0.20049,1.55182,2.66751,0.105601,0
4.39509,1.89552,2.01265,-0.111887,-0.140792,-0.104534,-0.848214,-0.433084,0.360642,1.6574,-0.0198243,0.353977,0.361167,-0.438517,1.62887,3.45713,-0.346927,-0.286976,-0.341691,1.814,-0.607278,-0.460674,-0.436754,-0.422874,0
-0.369478,-0.601387,-0.78589,-0.796186,-0.911387,-0.900589,1.16637,-0.675987,-0.260597,-0.0492307,0.00550081,0.380392,0.318528,1.7817,1.62887,3.45713,-0.467937,-0.407265,-0.434298,0.278301,0.384339,-0.267887,-0.304345,-0.36203,0
-0.578745,-0.446084,-0.656826,-0.877905,-0.986804,-0.97232,1.16637,-0.762353,-0.604747,-0.08058,0.115484,0.545284,2.04256,1.7817,1.62887,-0.513497,-0.386202,-0.310584,-0.353922,0.158283,-0.00780091,-0.501394,-0.446046,-0.507187,0
2.72967,1.89552,0.139208,-0.101959,-0.265491,-0.778179,-1.04203,-1.08712,-1.32916,-1.15869,-0.875089,-0.397643,-0.669982,-0.871653,-0.839305,-0.39243,-0.0762481,-0.0947393,-0.151237,-0.157968,-0.229788,-0.619739,-0.566841,1.87269,2
0.94467,0.0850672,0.058242,-0.602964,-0.426778,0.778065,0.620989,0.28303,0.242732,0.197741,1.77319,-0.87391,-0.825614,-0.785406,-0.396268,-0.244055,-0.0751866,-0.152073,-0.106681,-0.217539,-0.199363,1.55881,2.66751,0.0551874,0
0.734158,-0.106402,-0.377853,-0.606018,-0.706791,-0.668244,-0.812845,-0.56803,-1.11692,-0.945363,-0.689854,-0.372029,-0.337399,0.00222853,-0.462141,0.174672,0.433266,2.04685,3.44381,-0.306019,0.609706,0.19531,0.413454,0.483704,0
-0.313424,0.0630836,2.01265,0.41814,1.00241,1.64273,-0.783136,-0.607615,1.3813,1.6574,-0.679724,-0.388038,-0.385013,-0.380808,-0.342055,0.646195,0.824954,-0.479213,-0.50681,-0.518021,-0.342472,-0.362053,-0.283438,0.103863,1
-0.0705249,-0.653154,-0.860443,-1.03982,-1.11449,-0.180163,-0.475431,0.663578,1.3813,1.6574,1.77319,-0.965961,-0.905206,-0.860238,-0.788589,-0.152117,0.0585608,-0.520809,-0.551366,-0.574964,-0.66362,-0.113912,-0.586973,-0.123868,2
-0.751889,-0.994963,-1.24603,1.40488,0.70522,1.64273,-0.321932,0.302822,-0.283442,-0.0736984,-0.434432,-0.592152,-0.65719,-0.635743,-0.58689,0.140991,0.474664,-0.390402,-0.44915,-0.474219,-0.5284,-0.582199,-0.723255,-0.621052,0
-0.941226,-0.609187,0.207348,0.333366,1.52435,1.64273,1.16637,-0.865812,-1.15082,-0.979771,-0.715179,-0.395242,2.04256,1.7817,-0.837556,-0.410636,-0.226979,-0.14308,0.0497015,0.0470256,-0.389799,-0.71136,-0.686861,-0.763601,2
-0.0705249,-0.628334,2.01265,-0.121815,-0.231143,0.278289,-0.0637431,0.668976,1.3813,1.6574,-1.22602,-0.988374,-0.907338,-0.83614,-0.668502,-0.633653,-0.559225,-0.512939,-0.518167,0.455261,-0.579108,-0.207442,-0.106118,-0.149075,2
0.296938,-0.458848,-0.825973,-1.27046,-1.36986,-1.3567,-1.48202,-1.23017,-1.13387,-1.5173,-1.24194,-0.989975,2.04256,1.7817,-0.655678,-0.0965905,0.0521918,4.59764,2.94409,3.43731,4.48941,2.05001,0.786679,0.86963,2
-0.0568229,-0.546073,0.0462173,-0.00802011,-0.220689,-0.170027,1.16637,0.0590195,1.3813,-0.205977,0.00115936,0.393199,-0.383591,1.7817,1.62887,-0.408815,-0.26307,-0.182426,-0.250832,-0.507509,-0.0709038,-0.51921,-0.377906,2.97397,0
0.869932,-0.148951,2.01265,-0.609837,-0.717991,-0.690855,-0.795161,-0.780346,-0.978375,-0.916307,-0.670317,-0.35522,-0.335267,0.0187169,-0.377614,0.20198,0.43645,0.565162,0.331015,0.337872,-0.0754112,0.181312,0.387127,0.427206,3
-0.805452,0.289301,0.312364,1.68287,1.52435,1.64273,1.16637,-0.898199,-1.16924,-0.979771,-0.530668,-0.986773,-0.926526,-0.883068,-0.821233,-0.35875,0.156218,0.040164,-0.270052,-0.307771,-0.323315,-0.656005,2.66751,-0.672335,2
