feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
1.22247,-0.103208,-0.658635,1.72295,1.26862,1.86458,0.768039,-0.389005,-0.554379,0.516702,-0.294085,-0.557781,-1.30717,-0.999159,-0.504103,-0.767944,-1.1288,-0.396812,-0.251796,-1.80083,-1.45289,0
0.727486,0.0771162,0.28415,0.606534,0.148432,0.503087,0.108243,0.223801,1.32745,-1.13527,1.93257,0.711685,1.52041,-0.175348,1.1157,-0.08312,-1.5839,-0.0995332,0.0154661,0.696083,1.30521,0
-1.20296,0.466237,-0.498698,1.53924,2.09088,0.778692,2.11244,1.16878,1.22524,-0.403961,-1.74496,-1.13962,-0.943884,-0.129896,-1.60378,-0.784512,-1.00903,-0.906433,-0.794673,-0.274937,-0.780915,0
1.32147,0.0771162,-0.549204,-0.6936,-0.113739,0.0566061,-0.47714,0.258164,-0.241743,0.27511,0.232968,1.47204,1.12685,-0.181029,0.367715,0.37527,0.116751,-0.941823,1.76937,-0.64485,-1.24227,1
1.67786,0.143551,0.503011,-0.312039,-0.375911,-1.40962,-0.239018,-0.0911924,-0.133523,2.00543,0.84293,2.24562,0.715125,0.824588,0.531181,0.910979,-0.386259,-1.06923,-0.494003,1.16772,-2.5461,1
-0.242686,2.15559,-1.50882,0.684259,-1.01942,-0.213487,-0.546592,-0.45773,-0.0854254,0.67341,0.529066,0.61912,1.15712,0.500745,0.154714,-0.0223694,0.793418,0.0986527,0.282728,-0.663346,-0.159089,1
0.084005,0.209987,-1.63509,-0.76426,-0.00052911,0.128263,-1.63302,0.218074,-1.46824,-0.763084,-0.832983,-0.947877,1.21767,1.45523,1.58628,0.629318,1.20062,1.65583,1.4353,0.168958,1.04444,1
0.618589,1.51022,0.46934,1.59577,1.56058,2.22287,1.96857,1.45514,0.100954,-1.46174,-0.424368,-0.670181,-0.616926,-2.27749,-1.04899,-2.28671,-1.39228,0.0137159,0.850661,0.233692,0.151824,0
-0.123889,-0.568255,-0.835407,-0.184852,-0.977713,0.420405,1.06073,0.321163,0.984751,0.660351,-0.0275975,1.0026,0.133866,-1.52185,-1.0688,-1.04961,-0.559917,0.296839,-0.819728,-0.765071,0.603149,0
3.27171,-0.0462636,0.780796,-1.73229,-1.47226,-0.516653,-1.80665,-2.02124,0.329418,0.118401,-0.0749731,-0.319756,1.63545,0.000777223,1.10579,1.5958,0.799407,0.325151,0.107338,-0.404407,1.34533,1
0.0543059,0.323876,-0.338761,-0.601743,-0.101823,-0.196951,-0.978188,0.120712,0.137027,-1.35727,0.641583,-0.0420603,1.09052,1.05185,2.6711,1.1595,0.883242,1.762,-0.00123776,-0.783567,0.633237,1
-0.539677,-0.160153,0.637695,-1.56271,-1.22201,-1.39859,-0.482101,0.739245,0.275308,1.50919,1.16272,0.824085,1.56279,-0.0162671,-0.687383,-1.04961,0.458079,-0.283563,-0.402131,0.45564,-1.80392,1
-0.123889,1.45328,-1.77819,-1.93721,-1.17434,-0.863916,-0.541631,-0.915903,0.0889293,-0.658612,0.81332,0.262082,1.04814,1.15979,1.08102,0.209587,-0.0389425,0.112809,0.967588,0.32617,-0.429884,1
-0.282284,1.35837,-1.13844,-0.686534,0.202058,-0.858404,0.296756,0.12644,1.15911,1.48307,1.34037,0.0108341,0.394222,-0.453739,-1.40069,0.1157,-0.506023,0.403009,-0.502355,0.104223,0.322324,0
-0.391181,-0.928904,-1.04585,0.797314,1.07199,-1.812,-0.859127,-1.06481,-1.83498,-1.23974,-0.24671,-0.379262,0.261017,0.546197,0.798671,1.25339,0.727548,1.0188,0.215913,0.899535,2.07748,0
1.72736,0.656052,0.233644,0.521742,0.952821,1.32439,1.13018,0.0577137,0.762299,1.6006,-0.394759,-1.25863,-1.01654,-0.0958075,-1.33134,-0.0499833,-0.769504,-0.637466,-0.0847572,-0.617106,-0.540208,0
-1.61875,1.40582,0.309404,-1.36486,-2.05619,-2.23643,-1.00795,-0.990356,-1.04137,-2.1604,-0.815217,-0.273473,0.805947,-0.402606,1.12065,1.49639,0.925159,1.22407,0.691974,1.13073,-1.24227,1
-0.173388,-1.10923,0.107378,-0.99037,-0.49508,-0.097733,-1.51396,-0.996083,-0.542355,-1.1875,-0.602027,0.321589,1.04814,0.835951,2.55222,1.7173,1.17068,2.04512,0.282728,0.215197,-0.921327,0
-0.509978,-0.558765,0.233644,-0.813721,-1.53185,-1.33796,-1.24111,-1.43135,-1.47425,-0.945911,-0.412524,-0.934653,0.158085,0.625737,0.877927,0.800524,1.34433,1.61336,-0.0680533,0.0302403,0.332354,0
-1.07426,0.599108,0.755543,-0.24138,1.08987,0.216457,0.961514,-0.990356,-1.67867,-1.80128,-1.25344,-0.399097,-0.580598,-0.317384,0.991858,-0.199098,0.0748334,1.65583,0.566695,-0.543124,-1.11189,0
2.14315,1.19703,-0.0273054,0.832644,0.374853,0.64089,0.495191,-0.21719,-1.1075,-1.03079,-0.892203,-0.233802,-0.768296,0.0291845,0.437065,1.01039,-0.4162,-1.09046,1.31002,-0.0807334,0.693414,0
-2.07413,0.0391532,-1.81186,-1.15995,-0.971755,-0.285145,-0.794636,-0.0568294,-0.374012,0.470995,0.866617,0.367871,1.61123,0.159858,-0.192032,-0.795558,0.146692,-0.241094,-0.301908,0.501879,2.20786,1
-0.490178,0.99772,-0.768065,-0.630007,-0.00648755,-0.549726,0.916866,-0.348914,-0.392049,-0.82185,-0.365149,-1.32475,-0.513995,-0.544642,-0.038473,0.778433,0.194598,0.62243,1.73597,1.11223,-0.0387357,0
0.994779,1.86138,1.38687,-0.00820356,-0.584456,0.569232,-0.204292,0.624702,1.2072,-0.00565979,0.173749,0.2158,-0.780405,-1.65253,-0.241567,-0.663011,-0.655728,0.211902,-1.02018,-1.05175,0.0214409,0
-0.410981,0.323876,1.37004,0.288566,-1.23393,0.398357,-0.437453,-0.171373,-2.04541,-0.227663,-1.12316,-0.485051,0.0672638,0.6371,-0.201939,0.695591,-0.841362,1.11082,1.08452,0.141214,0.803738,0
-0.311984,1.09263,0.157885,-0.446292,1.01241,0.447966,0.37613,-0.589455,-0.223707,-1.37033,-1.60876,-0.855312,-0.217311,0.290531,0.595577,0.458112,0.248491,0.502102,-0.377075,0.853296,0.803738,0
0.0642056,1.55767,2.27915,0.182577,2.6331,2.62525,1.94377,0.0920767,0.209174,1.69202,0.357329,-1.50988,-1.18608,-1.70366,-0.657662,-1.6792,-0.362306,-0.234016,-0.577522,-0.0252465,1.31524,0
-0.539677,-1.01432,-1.0206,0.57827,-1.21009,-0.422947,-1.43955,-1.08772,-1.94922,0.190226,0.700803,1.26708,0.696961,0.432568,0.546042,1.45221,1.11079,1.64875,-0.343668,0.927278,-0.299501,1
0.301799,2.11763,2.54852,0.0341921,1.97767,1.05981,0.946631,1.28905,1.37555,-0.6782,-0.755998,-0.0883429,-1.22846,-0.538961,-0.796361,-1.50247,-0.0389425,-0.290641,-0.594226,0.668339,1.27512,0
0.628489,-0.473348,0.629277,1.8996,1.34012,0.66845,1.32366,1.11724,0.449663,0.621174,-1.28897,-1.13301,-0.302078,-1.43095,-0.974687,-1.23738,1.12277,0.183589,0.97594,0.548118,0.603149,0
1.90555,0.115079,0.612442,-0.425094,-0.745334,-0.726114,-1.04764,-0.0453751,-0.325915,-1.08956,1.18048,0.87698,0.158085,2.09155,0.947277,1.96031,0.775454,0.134043,0.825605,-0.515381,-0.14906,1
0.420595,-0.482838,1.43738,0.853842,0.559564,1.49527,0.624174,1.4265,0.197149,-0.580258,-1.83379,-1.4107,-0.526105,-0.96507,-0.340637,-0.812126,-0.919209,-0.191548,-0.619282,-0.570867,0.693414,0
-0.806969,-0.454366,1.3532,2.26703,1.21499,1.24722,1.00616,1.54677,0.942666,-0.906734,-0.483588,-0.809029,-1.70073,-1.24914,-1.03413,-1.04408,-0.943162,-1.55761,-1.09534,-1.66211,1.85683,0
-2.32163,0.0486439,-1.76136,0.776116,1.09582,0.723571,0.554722,0.905333,0.618005,-0.769614,-0.684934,-2.32974,-1.30717,-0.624183,-0.746826,-0.629875,0.751501,0.820615,0.524935,-0.691089,0.151824,0
-1.49995,0.323876,0.890227,0.479347,2.11472,1.5118,0.857335,1.25469,-0.566404,-0.292959,-0.625715,-1.91981,-1.68257,-1.39118,-0.687383,-1.60741,-1.30844,-0.87812,0.0989856,-0.0344943,0.372472,0
0.638389,-0.0652452,-0.93642,0.882105,0.57744,0.508599,0.663861,0.0577137,-0.319902,-0.443138,-0.921812,-1.35781,-1.10131,0.0632732,-0.221753,-0.149393,-0.00301327,-0.0145964,-1.38766,-2.60539,-0.50009,0
0.539392,0.38082,1.11751,0.80438,1.44737,1.46219,1.05081,0.842334,0.563895,-0.514962,0.315876,-0.888371,-1.53725,-1.12983,-2.23288,-0.657489,-1.42222,-0.0145964,-0.602578,-0.866797,0.733532,0
-0.519877,-1.50784,0.17472,0.57827,0.666816,1.148,0.227304,-0.0339208,0.203162,-0.919793,-0.773764,-1.08672,-0.526105,0.188265,-0.434754,-0.292985,-0.559917,-0.701169,0.165801,1.48215,-0.620444,0
1.25217,0.456746,0.0737073,0.0271262,-0.667874,1.62756,0.589448,1.94768,0.930641,1.07824,0.244812,-1.11978,-0.616926,-0.442376,-0.301009,-1.44172,-0.907233,-1.24618,-0.777969,-0.469141,-1.54315,0
1.66796,-0.0177914,2.00137,1.05875,-0.173324,1.31337,1.14507,1.17451,0.311382,0.470995,0.801476,-2.20412,-0.132544,-0.135578,-0.424847,-1.17663,-1.32641,-0.602076,-0.193333,-1.6991,-0.189177,0
-0.490178,-0.236079,-1.28996,0.429885,0.565523,-1.23874,-2.27794,-1.82652,-0.386037,-1.25933,-0.24671,0.00422229,0.430551,1.34728,1.83396,1.20921,1.60781,1.11082,0.0739298,1.2602,-0.0587946,1
1.42047,-1.56478,-0.279837,-0.0364673,-0.834711,-0.781235,0.252109,-0.383277,-0.921125,-2.10164,-0.596105,0.724908,0.836221,1.2507,0.927463,1.87194,1.17068,3.22716,-0.677745,2.21272,0.76362,1
-1.50985,-1.00483,-0.0609763,0.373357,-0.232908,0.0896787,-1.16174,-0.509275,1.13506,0.490584,-0.67309,2.06049,0.678796,1.04048,0.174528,0.364225,-0.104813,0.303917,0.282728,1.58387,1.72645,1
0.400796,0.105588,0.503011,0.479347,0.827694,1.95277,1.26413,0.91106,0.0769048,0.0139288,-2.14173,-0.273473,-0.955994,-1.0162,-0.622988,0.922025,0.116751,-0.0924551,1.6608,1.09374,1.01436,0
-1.34155,-0.397422,0.940733,0.493479,-0.0243629,-0.307193,-0.368001,-1.2309,-0.506281,1.57448,-0.371071,-0.134625,0.460824,1.23365,-0.117729,1.12637,0.122739,1.12497,1.33507,-0.663346,-0.640502,0
-1.40095,1.35837,1.05016,1.88547,0.851528,-0.0591482,0.247148,0.177984,-0.223707,0.431818,-0.400681,-1.54294,-0.235475,-0.754856,-0.286149,0.397361,0.062857,-0.0995332,-0.552466,-1.21821,-0.159089,0
-0.509978,0.0296624,-0.852242,-0.912644,-1.65698,-1.93327,-1.22623,-0.515002,-2.01535,-0.456197,-0.596105,0.724908,0.121757,-0.10717,0.902695,0.320043,1.32038,0.721522,0.783845,-0.903789,-0.14906,1
-0.222886,2.07018,-0.422938,1.28486,1.47716,2.08506,2.0281,0.229528,1.17113,-1.12221,-0.542807,-2.77934,-0.962049,-0.624183,-1.43536,-1.02751,-0.673693,-1.62132,-0.694449,-0.228698,1.69636,0
1.15317,0.902812,0.713454,-0.587611,-1.30543,0.0455818,-1.01788,-1.22517,-0.752783,-1.1875,-0.755998,-0.319756,1.87159,1.29615,1.37328,1.02143,1.36829,2.06635,0.59175,-0.885293,0.101677,0
0.0246067,-1.22312,-0.465027,0.465215,-0.411662,-0.621383,-0.918658,0.0978038,-0.885052,0.26858,-2.21872,-0.604063,-0.483721,0.131451,-0.454568,1.1816,0.194598,1.25238,0.575047,1.2417,1.01436,0
1.36107,-1.10923,0.191555,-0.220182,-0.894295,-0.759186,-2.02989,-1.98688,-0.47622,-0.338665,-1.63837,0.116623,2.03507,0.784818,1.48226,0.706637,0.661678,0.303917,0.165801,1.80582,1.4055,1
-0.668373,-0.701126,-0.103065,-0.0505992,-0.232908,-0.693041,-0.119957,-1.47716,-0.728734,-1.5858,-0.815217,-1.2388,-0.120434,0.222354,1.07607,1.25339,1.39224,0.834772,-0.661041,2.08325,-0.851121,0
0.0246067,0.589617,1.71516,0.408687,-0.411662,0.993665,1.48241,0.996968,-0.25978,-0.116662,-0.400681,-0.749523,-1.53725,0.279168,-0.211846,1.01591,0.703595,1.50011,0.524935,-1.34768,0.613178,0
-0.10409,1.1211,0.629277,-0.481622,0.202058,0.436942,0.142969,-0.326006,-0.193645,0.647292,-0.116427,0.0505049,-0.259694,0.478019,0.659973,-0.651966,1.08085,0.339307,0.900772,-0.478389,-1.4228,0
-0.302084,-0.112699,0.763961,-0.418028,-0.822794,-0.290657,0.162813,0.79079,-0.428122,1.56795,1.38183,0.341424,0.763563,-0.482146,-0.340637,-0.58017,-1.3324,-1.6921,-0.460595,-1.25521,3.13057,0
0.905681,0.845867,3.28928,1.9208,1.51291,1.77638,1.661,0.7507,1.29739,-0.54761,-0.862593,-2.0256,-0.883337,-0.942344,-0.652709,-1.6792,-0.703634,0.162355,-1.52129,0.640596,0.803738,0
1.24227,-0.24557,-1.34047,0.00592833,-0.936004,-0.946598,-0.963305,-1.17363,-0.319902,0.732176,0.0908416,0.976157,1.89581,2.01201,1.15532,0.41393,0.763477,0.148199,-0.385427,0.501879,0.873944,1
-0.727771,1.1211,0.267315,0.811446,-0.512955,0.188897,-0.427531,1.18596,0.744262,2.01849,1.25154,0.579449,1.04814,-1.03893,-1.14806,-0.348213,-1.29647,-1.67086,0.0572259,-0.996267,-1.24227,0
0.479994,0.304894,-0.0778118,0.182577,-0.882378,0.255042,-0.0207394,0.183711,0.431626,1.45695,1.76083,0.665402,-0.308133,-0.10717,0.40239,-0.701671,0.38622,-1.09046,-0.86984,-0.635602,-0.389766,0
0.687887,-0.511311,1.68991,0.691325,1.62017,0.960592,0.961514,0.292527,2.03689,0.0400469,-0.684934,-0.438768,-1.14975,0.460975,-1.64837,0.308997,-1.43419,-0.694091,0.266025,-0.43215,0.352413,0
0.965079,-0.302514,0.300986,1.46858,0.458271,0.530648,-0.1398,-0.612364,-1.14358,0.157578,-0.264476,-1.19913,-0.750131,-0.220799,-0.00379836,-0.177007,0.913183,-0.085377,0.366248,-1.85631,-1.62339,0
1.14327,-1.95391,-1.66876,-0.121259,-0.215033,0.0676303,-0.630927,-0.326006,0.84647,2.2405,1.79636,1.14145,0.993645,-0.146941,-0.816175,-0.0499833,-0.637763,-0.821496,-1.67163,0.566613,-0.911297,1
1.77686,0.570636,0.629277,-0.0294014,0.607232,-0.450508,-0.377922,0.378435,0.106966,-0.175427,-1.135,-0.815641,0.0309351,-0.266251,0.169575,-1.06065,0.416161,-0.170314,-0.460595,0.316923,0.894003,0
-1.55935,-0.729598,0.831302,-1.17408,-0.0303213,0.673962,1.27901,1.36351,1.82045,0.41223,-0.110505,0.440601,-1.51303,-0.726449,-0.350544,-1.17663,-0.997056,-0.262329,1.25155,-0.321177,1.37542,0
-0.648574,1.45328,-0.187242,0.521742,2.51989,1.46771,0.946631,0.882424,-0.428122,-0.717378,-1.25936,-2.27024,-1.04076,-1.43095,-0.731965,-1.79518,-0.0688836,-1.13293,-0.686097,1.01976,-0.209236,0
0.767085,1.04517,1.17643,0.528808,0.213975,0.337724,1.04089,-0.423368,-0.235731,-0.292959,-0.67309,1.03566,0.17625,-0.533279,0.243877,1.40803,1.31439,0.487946,-0.435539,0.178205,0.563031,0
0.94528,-1.28955,-1.31522,1.05875,-0.691708,-0.84738,-0.13484,-0.560819,-0.921125,-1.0765,-0.602027,-1.08011,-0.6472,0.250761,0.778857,1.41355,2.13478,0.162355,0.800549,-0.737328,-0.0387357,0
-0.658473,-0.843487,-0.549204,-0.262578,-1.07901,0.558208,-0.695418,0.332617,0.155064,1.73119,0.742256,1.49849,1.65967,0.085999,0.273599,0.607227,0.302385,0.565805,-0.393779,-1.09799,-0.69065,1
